frame,time,source_lower,source_upper,alpha
1,0.0,0,0.05,0.0
2,0.03333333333333333,0,0.05,0.6666666666666666
3,0.06666666666666667,0.05,0.1,0.33333333333333326
4,0.1,0.1,0.15000000000000002,0.0
5,0.13333333333333333,0.1,0.15000000000000002,0.6666666666666663
6,0.16666666666666666,0.15000000000000002,0.2,0.33333333333333276
7,0.2,0.2,0.25,0.0
8,0.23333333333333334,0.2,0.25,0.6666666666666666
9,0.26666666666666666,0.25,0.30000000000000004,0.333333333333333
10,0.3,0.30000000000000004,0.35000000000000003,0.0
11,0.3333333333333333,0.30000000000000004,0.35000000000000003,0.6666666666666655
12,0.36666666666666664,0.35000000000000003,0.4,0.3333333333333322
13,0.4,0.4,0.45,0.0
14,0.43333333333333335,0.4,0.45,0.6666666666666666
15,0.4666666666666667,0.45,0.5,0.3333333333333333
16,0.5,0.5,0.55,0.0
17,0.5333333333333333,0.5,0.55,0.666666666666666
18,0.5666666666666667,0.55,0.6000000000000001,0.33333333333333187
19,0.6,0.6000000000000001,0.65,0.0
20,0.6333333333333333,0.6000000000000001,0.65,0.6666666666666652
21,0.6666666666666666,0.65,0.7000000000000001,0.33333333333333187
22,0.7,0.7000000000000001,0.75,0.0
23,0.7333333333333333,0.7000000000000001,0.75,0.6666666666666652
24,0.7666666666666667,0.75,0.8,0.3333333333333341
25,0.8,0.8,0.8500000000000001,0.0
26,0.8333333333333334,0.8,0.8500000000000001,0.666666666666666
27,0.8666666666666667,0.8500000000000001,0.9,0.3333333333333326
28,0.9,0.9,0.9500000000000001,0.0
29,0.9333333333333333,0.9,0.9500000000000001,0.666666666666666
30,0.9666666666666667,0.9500000000000001,1,0.3333333333333326
31,1.0,1,1.05,0.0
32,1.0333333333333334,1,1.05,0.6666666666666682
33,1.0666666666666667,1.05,1.1,0.33333333333333187
34,1.1,1.1,1.1500000000000001,0.0
35,1.1333333333333333,1.1,1.1500000000000001,0.6666666666666637
36,1.1666666666666667,1.1500000000000001,1.2000000000000002,0.33333333333333187
37,1.2,1.2000000000000002,1.25,0.0
38,1.2333333333333334,1.2000000000000002,1.25,0.6666666666666666
39,1.2666666666666666,1.25,1.3,0.33333333333333187
40,1.3,1.3,1.35,0.0
41,1.3333333333333333,1.3,1.35,0.6666666666666637
42,1.3666666666666667,1.35,1.4000000000000001,0.33333333333333187
43,1.4,1.4000000000000001,1.4500000000000002,0.0
44,1.4333333333333333,1.4000000000000001,1.4500000000000002,0.6666666666666637
45,1.4666666666666666,1.4500000000000002,1.5,0.3333333333333289
46,1.5,1.5,1.55,0.0
47,1.5333333333333334,1.5,1.55,0.6666666666666682
48,1.5666666666666667,1.55,1.6,0.33333333333333187
49,1.6,1.6,1.6500000000000001,0.0
50,1.6333333333333333,1.6,1.6500000000000001,0.6666666666666637
51,1.6666666666666667,1.6500000000000001,1.7000000000000002,0.33333333333333187
52,1.7,1.7000000000000002,1.75,0.0
53,1.7333333333333334,1.7000000000000002,1.75,0.6666666666666666
54,1.7666666666666666,1.75,1.8,0.33333333333333187
55,1.8,1.8,1.85,0.0
56,1.8333333333333333,1.8,1.85,0.6666666666666637
57,1.8666666666666667,1.85,1.9000000000000001,0.33333333333333187
58,1.9,1.9000000000000001,1.9500000000000002,0.0
59,1.9333333333333333,1.9000000000000001,1.9500000000000002,0.6666666666666637
60,1.9666666666666666,1.9500000000000002,2,0.3333333333333289
61,2.0,2,2.0500000000000003,0.0
62,2.033333333333333,2,2.0500000000000003,0.6666666666666607
63,2.066666666666667,2.0500000000000003,2.1,0.3333333333333333
64,2.1,2.1,2.15,0.0
65,2.1333333333333333,2.1,2.15,0.6666666666666666
66,2.1666666666666665,2.15,2.2,0.3333333333333304
67,2.2,2.2,2.25,0.0
68,2.2333333333333334,2.2,2.25,0.6666666666666666
69,2.2666666666666666,2.25,2.3000000000000003,0.3333333333333304
70,2.3,2.3000000000000003,2.35,0.0
71,2.3333333333333335,2.3000000000000003,2.35,0.6666666666666666
72,2.3666666666666667,2.35,2.4000000000000004,0.3333333333333304
73,2.4,2.4000000000000004,2.45,0.0
74,2.433333333333333,2.4000000000000004,2.45,0.6666666666666577
75,2.466666666666667,2.45,2.5,0.3333333333333333
76,2.5,2.5,2.5500000000000003,0.0
77,2.533333333333333,2.5,2.5500000000000003,0.6666666666666607
78,2.566666666666667,2.5500000000000003,2.6,0.3333333333333333
